provider,model,method,seeds,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std
gpt,gpt-4o-mini,zero,10,0.620375,0.04944852121145786,0.6162942805500575,0.056714927996908825,0.5038461538461538,0.00619289604538008,1.0,0.0,0.6700564971751413,0.005458145667114669
gpt,gpt-4o-mini,few,10,0.63275,0.04824632973950798,0.6280826500543255,0.05562161822845336,0.5354595404595405,0.051522087090281124,0.885,0.14346892811104894,0.6585725951907595,0.031799095517921205
gpt,gpt-4o-mini,cot,10,0.5965,0.06681961621493429,0.6300456439799682,0.04999909734288822,0.49624819624819627,0.02100917929253277,0.875,0.14577379737113252,0.6292353087164407,0.04560279993997778
zhipu,glm-4.7,zero,1,0.58375,0.0,0.6355427937569137,0.0,0.5185185185185185,0.0,0.7,0.0,0.5957446808510639,0.0
zhipu,glm-4.7,few,1,0.6875,0.0,0.7404976189407054,0.0,0.631578947368421,0.0,0.6,0.0,0.6153846153846154,0.0
zhipu,glm-4.7,cot,1,0.72,0.0,0.7700623363835455,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.0
