provider,method,seeds,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std
gpt,zero,10,0.60375,0.05318991132410984,0.6072176780196394,0.03213616171299588,0.6049405845051007,0.12951482530688485,0.59,0.2746715209927022,0.5536739222547316,0.11566826938933447
gpt,few,10,0.564125,0.029468969084256873,0.5771080008019022,0.034996009013935,0.5627224624360847,0.0789560969814844,0.415,0.2698250461976344,0.4343847063044047,0.14472746198041295
gpt,cot,10,0.575875,0.09489403812791519,0.5903328444194562,0.07556167784670709,0.5196631121857982,0.12993099891582077,0.605,0.32184364734034027,0.525581421757439,0.18431935004992897
zhipu,zero,1,0.5387500000000001,0.0,0.5370672227251174,0.0,0.5454545454545454,0.0,0.6,0.0,0.5714285714285713,0.0
zhipu,few,1,0.5062500000000001,0.0,0.5525811965811966,0.0,0.5333333333333333,0.0,0.4,0.0,0.4571428571428572,0.0
zhipu,cot,1,0.62125,0.0,0.6888307660871263,0.0,0.5882352941176471,0.0,0.5,0.0,0.5405405405405405,0.0
