Model,Prompting,ROC-AUC,PR-AUC,Precision,Recall,F1,threshold(val),pick_mode
Logistic Regression,?,0.655,0.7176592765212739,0.5,0.65,0.5652173913043479,0.365,BAND_OK
LightGBM,?,0.7375,0.7562460372230109,0.6111111111111112,0.55,0.5789473684210527,0.22499999999999998,BAND_OK
XGBoost,?,0.725,0.7563180130852545,0.75,0.45,0.5625000000000001,0.317,BAND_OK
